Postnummer,Ort,KnNamn,KnKod,LnNamn,Latitude,Longitude,Google-maps
82683,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82684,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82685,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82686,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82691,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3475822,17.3611234,"https://www.google.se/maps/@61.3475822,17.3611234,12z?entry=ttu"
82692,Söderala,SÖDERHAMN,2182,Gävleborgs län,61.2989312,16.8786801,"https://www.google.se/maps/@61.2989312,16.8786801,12z?entry=ttu"
82694,Norrala,SÖDERHAMN,2182,Gävleborgs län,61.3602252,16.9859866,"https://www.google.se/maps/@61.3602252,16.9859866,12z?entry=ttu"
82695,Trönödal,SÖDERHAMN,2182,Gävleborgs län,61.4394935,16.7768091,"https://www.google.se/maps/@61.4394935,16.7768091,12z?entry=ttu"
82701,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82720,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82721,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82722,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82723,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82724,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82725,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82727,Järvsö,LJUSDAL,2161,Gävleborgs län,61.7109326,16.1784355,"https://www.google.se/maps/@61.7109326,16.1784355,12z?entry=ttu"
82728,Färila,LJUSDAL,2161,Gävleborgs län,61.8003802,15.841888,"https://www.google.se/maps/@61.8003802,15.841888,12z?entry=ttu"
82730,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8309742,16.063915,"https://www.google.se/maps/@61.8309742,16.063915,12z?entry=ttu"
82731,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8356722,16.0987858,"https://www.google.se/maps/@61.8356722,16.0987858,12z?entry=ttu"
82732,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8261075,16.0965489,"https://www.google.se/maps/@61.8261075,16.0965489,12z?entry=ttu"
82733,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8302263,16.1018514,"https://www.google.se/maps/@61.8302263,16.1018514,12z?entry=ttu"
